Planet Name,Num Stars,Num Planets,Orbital Period Days
HD 222582 b,2,1,572.38
HD 215497 c,1,2,567.94
HD 181342 b,1,1,564.1
TYC 3318-01333-1 b,1,1,562.0
TYC 1422-614-1 c,1,2,559.3
HD 125612 b,2,3,557.04
HD 33844 b,1,2,551.40002
HD 171028 b,1,1,550.0
HD 24064 b,1,1,535.59998
HD 1690 b,1,1,533.0
GJ 1148 c,1,2,532.58
nu Oph b,1,2,530.21
HD 147513 b,2,1,528.4
HD 22781 b,1,1,528.07
HD 4113 b,3,1,526.62
GJ 229 b,2,2,526.115
HD 192310 c,1,2,525.8
Kepler-454 c,2,2,523.9
bet UMi b,1,1,522.3
HD 158038 b,1,1,521.0
HD 109286 b,1,1,520.1
HD 202696 b,1,2,517.8
11 UMi b,1,1,516.21997
HD 24040 c,1,2,515.4
HD 96992 b,1,1,514.0
NGC 2682 Sand 978 b,1,1,511.21
iot Dra b,1,1,511.098
HD 180902 b,2,1,510.9
Kepler-1630 b,1,1,509.997402
HD 240210 b,1,1,501.75
HIP 109384 b,1,1,499.48
HD 153950 b,1,1,499.39999
HD 96167 b,2,1,498.04
HD 60292 b,1,1,495.4
HD 114783 b,1,2,493.7
HD 564 b,1,1,492.3
HD 147873 c,2,2,491.54
HD 95127 b,1,1,482.0
BD+03 2562 b,1,1,481.9
HD 66141 b,1,1,480.5
HD 137496 c,1,2,479.9
42 Dra b,2,1,479.1
HD 44219 b,1,1,472.3
HD 13189 b,1,1,471.60001
Kepler-1635 b,1,1,469.63111
HD 19994 b,3,1,466.2
HD 31253 b,1,1,466.0
HD 95089 b,1,2,464.4
HD 136418 b,1,1,464.29999
HD 188015 b,2,1,461.2
HD 25723 b,1,1,457.01
HD 221287 b,1,1,456.1
HIP 90988 b,1,1,453.9
HD 128311 b,1,2,453.019
24 Sex b,1,2,452.8
Kepler-1632 b,1,1,448.303558
HAT-P-13 c,1,2,446.27
HD 210277 b,1,1,442.19
HD 82943 b,1,2,441.47
KIC 5437945 b,1,2,440.7813
HD 99109 b,1,1,439.29999
HD 108863 b,1,1,437.7
HD 165155 b,1,1,434.5
HD 4760 b,1,1,434.0
HD 98219 b,1,1,433.8
HD 11755 b,1,1,433.70001
HD 4203 b,1,2,431.88
HIP 57274 d,1,3,431.7
HD 1502 b,1,1,428.5
gam 1 Leo b,2,1,428.5
HD 27442 b,2,1,428.1
Kepler-1636 b,1,1,425.47785
HD 75898 b,1,1,422.9
WASP-41 c,1,2,421.0
HD 167042 b,1,1,420.77
eps CrB b,1,1,417.9
2MASS J19383260+4603591 b,2,1,416.0
HD 76920 b,1,1,415.4
gam Lib b,1,2,415.2
HD 177830 b,2,2,410.10001
HD 154857 b,1,2,408.60001
Kepler-432 c,2,2,406.2
HD 4917 b,1,1,400.5
HD 180314 b,1,1,396.03
Kepler-849 b,1,1,394.6244904
HD 108874 b,1,2,394.48123
BD+48 738 b,1,1,392.6
HD 155358 c,1,2,391.9
HD 33564 b,1,1,388.0
Kepler-1600 b,1,1,386.370548
HD 142415 b,1,1,386.29999
Kepler-452 b,1,1,384.843
HD 100777 b,1,1,383.70001
HD 20868 b,1,1,380.85001
alf Ari b,1,1,380.8
HD 212771 b,1,1,380.7
HD 28678 b,1,1,380.2
BD+20 2457 b,1,2,379.63
HD 73526 c,1,2,379.1
HD 28185 b,1,1,379.0
Kepler-1634 b,1,1,374.876239
Kepler-1536 b,1,1,364.758031
HD 38283 b,1,1,363.20001
HD 96063 b,1,1,362.5
HD 4732 b,2,2,360.2
HD 17092 b,1,1,359.89999
HD 156846 b,2,1,359.51001
HD 47366 b,1,2,359.15
HD 63765 b,1,1,358.0
mu Leo b,1,1,357.8
HD 4313 b,1,1,356.21
HD 210702 b,1,1,354.1
HD 208897 b,1,1,352.7
HD 155193 b,1,1,352.65
HD 67087 b,1,2,352.2
HD 159868 c,1,2,351.0
HD 142 b,2,2,349.7
HIP 5158 b,1,2,345.72
HD 45364 c,1,2,342.85
HD 75784 b,1,2,341.2
HD 192699 b,1,1,340.94
30 Ari B b,4,1,335.10001
KOI-351 h,1,8,331.60059
HD 148427 b,1,1,331.5
HD 137388 b,1,1,330.0
HD 148164 b,1,2,328.55
Kepler-553 c,1,2,328.2399546
HD 43197 b,1,1,327.8
11 Com b,2,1,326.03
HD 33142 b,1,2,326.0
HD 92788 b,1,2,325.803
HD 113337 b,1,1,324.0
HD 173416 b,1,1,323.6
HD 2952 b,1,1,311.60001
HD 160691 e,1,4,310.55
Kepler-1533 b,1,1,308.5471
BD+45 564 b,1,1,307.88
tau Gem b,1,1,305.5
Kepler-47 c,2,3,303.227
HR 810 b,1,1,302.79999
HD 59686 A b,2,1,299.36
HD 175541 b,1,1,298.43
HD 128356 b,1,1,298.2
Kepler-511 b,1,1,296.637865
Kepler-22 b,1,1,289.8623
Kepler-34 b,2,1,288.822
Kepler-1625 b,1,1,287.378949
KOI-1783.02,1,2,284.215
PH2 b,1,1,282.5255
HD 164509 b,2,1,280.17
HD 205739 b,1,1,279.8
ome Ser b,2,1,277.02
HD 31527 d,1,3,271.6737
HD 124330 b,1,1,270.66
HD 1666 b,1,1,270.0
4 UMa b,1,1,269.3
BD+14 4559 b,1,1,268.94
Kepler-62 f,1,5,267.291
BD+55 362 b,1,1,265.59
Kepler-315 c,1,2,265.469335
HD 40979 b,3,1,264.14999
HD 12661 b,1,2,262.70862
55 Cnc f,2,5,259.88
Kepler-1638 b,1,1,259.33683
Kepler-65 e,1,4,258.8
HD 134987 b,1,2,258.17999
GJ 3138 d,1,3,257.8
HD 89744 b,2,1,256.78
GJ 667 C g,3,5,256.2
HD 159243 c,1,2,248.4
Kepler-174 d,1,3,247.35373
DENIS-P J082303.1-491201 b,1,1,246.36
Kepler-69 c,1,2,242.4613
GJ 9066 b,1,2,241.883
ups And c,2,3,241.258
Kepler-1519 b,1,1,240.7989397
Kepler-453 b,2,1,240.503
KIC 5095269 b,2,1,237.68977
BD-08 2823 c,1,2,237.6
Kepler-1690 b,1,1,234.636
Kepler-1700 b,1,1,234.239
HIP 109600 b,2,1,232.08
Kepler-16 b,2,1,228.776
HD 8574 b,1,1,227.0
HD 45364 b,1,2,226.93
Kepler-712 c,1,2,226.89047
HD 218566 b,1,1,225.7
HD 169830 b,1,2,225.62
Kepler-1550 b,1,1,225.582809
Kepler-111 c,1,2,224.784608
HD 211403 b,1,1,223.8
HD 11506 c,1,2,223.41
Kepler-424 c,1,2,223.3
Kepler-460 c,1,2,220.1303357
HD 82943 c,1,2,220.078
Kepler-1085 b,1,2,219.3217528
HD 220842 b,2,1,218.47
Kepler-1514 b,1,2,217.83184
Wolf 1061 d,1,3,217.21
Kepler-1549 b,1,1,214.886545
HD 34445 c,1,6,214.67
Kepler-1515 b,1,1,214.3114164
HD 180053 b,1,1,213.72
Kepler-1318 b,1,1,213.257663
Kepler-1143 c,1,2,210.630591
KOI-351 g,1,8,210.60697
Kepler-462 c,1,2,207.62
Kepler-441 b,1,1,207.2482
GJ 3512 b,1,1,203.59
HD 141399 c,1,4,201.99
HD 60532 b,1,2,201.9
Kepler-1040 b,1,1,201.1214
TIC 172900988 b,2,1,200.452
HD 104985 b,1,1,199.505
Kepler-967 c,1,2,198.7112502
Kepler-1090 b,1,1,198.680179
TYC 1422-614-1 b,1,2,198.4
Kepler-1554 b,1,1,198.088774
HD 40307 g,1,5,197.8
HD 69830 d,1,3,197.0
Kepler-1606 b,1,1,196.435224
HD 155358 b,1,2,194.3
TYC 0434-04538-1 b,1,1,193.2
HD 9446 c,1,2,192.9
HD 233604 b,1,1,192.0
Kepler-87 c,1,2,191.2318
Kepler-108 c,2,2,190.323494
HD 73526 b,1,2,188.3
omi CrB b,1,1,187.83
Kepler-1097 b,1,1,187.747029
Kepler-47 d,2,3,187.366
Kepler-1633 b,1,1,186.404271
14 And b,1,1,185.84
Kepler-1552 b,1,1,184.771853
Kepler-401 d,1,3,184.256405
HIP 105854 b,1,1,184.2
HD 81688 b,1,1,184.02
91 Aqr b,3,1,181.4
Kepler-103 c,1,2,179.612
Kepler-439 b,1,1,178.1396
Kepler-443 b,1,1,177.6693
HD 5891 b,1,1,177.11
HD 145457 b,1,1,176.3
Kepler-1538 b,1,1,175.138819
Kepler-1661 b,2,1,175.06
Kepler-1593 b,1,1,174.509835
Kepler-540 b,1,1,172.7049784
Kepler-1701 b,1,1,169.134
Kepler-1544 b,1,1,168.811174
HD 154672 b,1,1,163.94
Kepler-1545 b,1,1,163.692349
tau Cet e,1,4,162.87
Kepler-767 b,1,1,161.5280101
Kepler-1086 c,2,2,161.5163345
Kepler-630 b,1,1,161.4743937
Kepler-1513 b,1,1,160.8846509
Kepler-1527 b,1,1,160.129918
HD 207832 b,3,2,160.07
Kepler-149 d,1,3,160.018032
HD 8326 b,1,1,158.991
Kepler-782 b,1,1,158.6853308
HD 100655 b,2,1,157.57001
HD 32518 b,1,1,157.54
Kepler-139 c,1,2,157.072878
HD 216520 c,1,2,154.43
HD 37124 b,1,3,154.378
Kepler-1567 b,1,1,153.979578
Kepler-937 c,1,2,153.343364
BD+15 2375 b,1,1,153.22
Kepler-201 c,1,2,151.884058
Kepler-610 c,1,2,151.86392
Kepler-1672 b,1,1,150.878
Kepler-867 b,1,1,150.242127
HD 42618 b,1,1,149.61
HD 216536 b,1,1,148.60001
Kepler-1038 b,1,1,148.4603382
Kepler-1678 b,1,1,147.974
HIP 14810 c,1,3,147.747
HD 20794 e,1,4,147.02
Kepler-896 b,1,1,144.547396
HIP 107773 b,1,1,144.3
HD 93083 b,1,1,143.58
Kepler-30 d,1,3,143.34394
Kepler-351 d,1,3,142.544247
HD 231701 b,1,1,141.63
KOI-3680 b,1,1,141.241671
Kepler-1653 b,1,1,140.2524
Kepler-264 c,1,2,140.101261
HD 5583 b,1,1,139.35
Kepler-1535 b,1,1,138.9442
PH1 b,4,1,138.317
BD+15 2940 b,1,1,137.48
xi Aql b,1,1,136.75
Kepler-1362 b,1,1,136.205626
Kepler-397 c,1,2,135.498527
KOI-1783.01,1,2,134.4628
Kepler-965 b,1,1,134.2527298
GJ 3021 b,2,1,133.71
HD 12648 b,1,1,133.60001
Kepler-799 b,1,1,133.4605235
Kepler-1539 b,1,1,133.3036741
Kepler-1341 b,2,1,132.9968322
Kepler-35 b,2,1,131.458
HD 156279 b,1,2,131.05
Kepler-952 b,1,1,130.3546919
Kepler-51 d,1,3,130.194
HD 208487 b,1,1,130.08
Kepler-186 f,1,5,129.9441
Kepler-603 c,1,3,127.9075774
Kepler-820 b,1,1,127.8338098
HD 102272 b,1,1,127.58
Kepler-302 c,1,2,127.282184
BD-06 1339 c,1,2,125.94
Kepler-289 c,1,3,125.8518
Kepler-539 b,1,2,125.63243
Kepler-344 c,1,2,125.596809
Kepler-1540 b,2,1,125.4131177
KOI-351 f,1,8,124.9144
Kepler-1548 b,1,1,124.828679
HIP 63242 b,1,1,124.6
Kepler-218 d,1,3,124.5244647
Kepler-841 b,1,1,124.4198398
GJ 876 e,1,4,124.26
61 Vir d,1,3,123.01
Kepler-1036 b,1,1,122.8808058
HD 10180 f,1,6,122.744
GJ 3293 c,1,4,122.6196
Kepler-25 d,2,3,122.4
Kepler-62 e,1,5,122.3874
Kepler-1599 b,1,1,122.363553
HD 102365 b,2,1,122.1
GJ 229 A c,2,2,121.995
NGC 2682 Sand 364 b,1,1,121.71
Kapteyn c,1,1,121.54
HD 103949 b,1,1,120.878
XO-2 S c,2,3,120.8
Kepler-1000 b,1,1,120.0181272
HD 52265 b,1,1,119.27
HD 216770 b,1,1,118.45
Kepler-11 g,1,6,118.3807
Kepler-807 b,1,1,117.9310878
HD 34445 d,1,6,117.87
Kepler-549 c,1,2,117.040498
70 Vir b,1,1,116.688
HD 147873 b,2,2,116.596
Kepler-985 b,1,1,116.331901
Kepler-1294 b,1,1,115.6862258
Kepler-87 b,1,2,114.73635
Kepler-1609 b,1,1,114.34219
Kepler-442 b,1,1,112.3053
HIP 79431 b,1,1,111.7
HD 80606 b,2,1,111.4367
Kepler-430 c,1,2,110.979
Kepler-1058 b,1,1,110.96546
HD 177830 c,2,2,110.9
Kepler-132 e,2,4,110.2869374
Kepler-1333 b,1,1,109.6471842
Kepler-1126 b,1,1,108.593329
Kepler-266 c,1,2,107.723601
HD 136352 d,1,3,107.245
GJ 180 d,1,3,106.3
Kepler-1177 b,1,1,106.247547
Kepler-976 b,1,1,105.9564148
HD 180617 b,2,1,105.911
Kepler-1016 c,1,2,105.6551369
Kepler-38 b,2,1,105.599
Kepler-309 c,1,2,105.356383
Kepler-987 b,1,1,105.3033148
Kepler-722 c,1,2,105.144749
Kepler-1185 b,1,1,104.3518976
HD 145377 b,1,1,103.95
HD 96700 d,1,3,103.5
rho CrB c,1,2,102.54
Kepler-1620 b,1,1,101.951829
TYC 4282-00605-1 b,1,1,101.54
Kepler-440 b,1,1,101.11141
Kepler-920 c,1,2,100.8274113
Kepler-126 d,1,3,100.283134
Kepler-966 b,1,1,99.747622
Kepler-251 e,1,4,99.640161
Kepler-1389 b,1,1,99.2530951
Kepler-950 b,1,1,98.7180406
PSR B1257+12 d,1,3,98.2114
Kepler-1020 b,1,1,96.9151496
Kepler-178 d,1,3,96.678988
Kepler-1503 b,1,1,96.16987
Kepler-315 b,1,2,96.101141
HD 206255 b,1,1,96.045
HD 51608 c,1,2,95.9446
CoRoT-9 b,2,1,95.272656
TOI-1338 b,2,1,95.174
HD 141399 b,1,4,94.44
Kepler-1227 b,1,1,94.2887577
HD 219134 g,1,6,94.2
8 UMi b,1,1,93.4
Kepler-310 d,1,3,92.876125
Kepler-283 c,1,2,92.743711
Kepler-1490 b,1,1,92.4362973
Kepler-1621 b,1,1,92.263714
KOI-351 e,1,8,91.93913
Kepler-230 c,1,2,91.773242
Kepler-140 c,1,2,91.353282
Kepler-1494 b,1,1,91.080482
Kepler-616 c,1,2,90.4113556
HD 20794 d,1,4,90.309
Kepler-1093 c,1,2,89.722292
HIP 67851 b,1,2,88.9
Kepler-396 c,1,2,88.505
Kepler-953 b,1,2,88.40655258
Kepler-152 c,1,2,88.255055
Kepler-1316 b,1,1,87.9732136
Kepler-31 d,1,3,87.6451
Kepler-130 d,2,3,87.517905
HIP 71135 b,1,1,87.19
Kepler-169 f,1,5,87.090195
Kepler-1229 b,1,1,86.828989
HD 147379 b,2,1,86.78
Kepler-418 b,1,1,86.67856
KOI-1257 b,2,1,86.647661
