Planet Name,Planet Host,Num Planets,Orbital Period Days,Equilibrium Temperature,Distance,Mass
HD 224538 b,HD 224538,1,1189.1,,79.0608,1897.4451
HU Aqr AB b,HU Aqr,2,2390.0,,,1875.197
HD 28185 b,HD 28185,1,379.0,,39.3809,1875.197
WASP-89 b,WASP-89,1,3.3564227,1120.0,290.946,1875.197
Kepler-1658 b,Kepler-1658,1,3.84937278,,788.238,1868.8404
HD 145675 c,14 Her,2,25000.0,,17.9323,1843.40476
HD 5583 b,HD 5583,1,139.35,,219.216,1837.0574
HD 99706 c,HD 99706,2,1278.0,,146.6,1808.4527
HD 75784 c,HD 75784,2,7900.0,,85.4321,1792.5612
HD 11755 b,HD 11755,1,433.70001,,235.045,1789.3829
Kepler-56 d,Kepler-56,3,1002.0,,912.994,1784.0
HD 213240 b,HD 213240,1,882.70001,,40.8707,1773.4914
NY Vir c,NY Vir,2,8799.0,,544.024,1760.7782
HD 211403 b,HD 211403,1,223.8,380.0,83.0919,1760.76937
OGLE-2017-BLG-1049L b,OGLE-2017-BLG-1049L,1,,,5670.0,1760.0
HIP 8541 b,HIP 8541,1,1560.2,,155.121,1748.065
HD 72892 b,HD 72892,1,39.475,,69.7311,1732.1735
TOI-172 b,TOI-172,1,9.47725,1198.0,342.831,1722.6386
HD 27894 d,HD 27894,3,5174.0,,43.8214,1721.04945
Kepler-432 b,Kepler-432,2,52.501129,,848.023,1719.4603
TYC 3667-1280-1 b,TYC 3667-1280-1,1,26.468,1350.0,477.516,1716.282
HD 132406 b,HD 132406,1,974.0,,70.7832,1709.9254
HD 154672 b,HD 154672,1,163.94,,63.0484,1706.7471
HATS-66 b,HATS-66,1,3.1414391,1998.0,1477.98,1694.0339
81 Cet b,81 Cet,1,952.7,,101.26,1684.4
HD 142 c,HD 142,2,6005.0,,26.1853,1684.4
Kepler-1514 b,Kepler-1514,2,217.83184,388.0,397.292,1678.1424
HD 240210 b,HD 240210,1,501.75,,372.405,1655.82
WASP-162 b,WASP-162,1,9.62468,910.0,310.841,1652.716
KELT-24 b,KELT-24,1,5.5514926,1459.0,96.5173,1646.3594
HD 148164 c,HD 148164,2,5062.0,,77.1971,1640.0028
HD 147873 b,HD 147873,2,116.596,,109.055,1633.6462
HD 13908 c,HD 13908,2,931.0,,79.5515,1630.4
HD 16175 b,HD 16175,1,990.0,,59.859,1620.933
BD-17 63 b,BD-17 63,1,655.6,,34.4603,1620.9
TOI-3362 b,TOI-3362,1,18.09547,,366.987,1598.35906
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,,1250.0,64.308,1589.15
HD 112640 b,HD 112640,1,613.2,,323.335,1589.15
HD 95086 b,HD 95086,1,,1000.0,86.2279,1589.0
GJ 676 A b,GJ 676 A,4,1056.80005,,16.0272,1576.4368
HD 50554 b,HD 50554,1,1293.0,,31.1664,1574.464
HD 102272 b,HD 102272,1,127.58,,347.097,1570.0802
HAT-P-21 b,HAT-P-21,1,4.12448,,277.278,1547.8321
HD 80869 b,HD 80869,1,1711.7,203.0,85.3951,1544.64606
WASP-120 b,WASP-120,1,3.6112706,1880.0,381.174,1541.4755
HD 67087 c,HD 67087,2,2374.0,,76.5217,1540.0
NGTS-13 b,NGTS-13,1,4.119027,1605.0,647.595,1538.2972
HD 11506 b,HD 11506,2,1622.1,,51.261,1535.1189
HD 27969 b,HD 27969,1,654.5,261.0,67.9328,1525.57635
14 And b,14 And,1,185.84,,75.4392,1525.5
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,1,5480.0,,3200.0,1500.0
MOA-2011-BLG-293L b,MOA-2011-BLG-293L,1,,,7720.0,1500.0
OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L,1,,,6800.0,1500.0
Kepler-31 c,Kepler-31,3,42.6318,,1664.64,1493.7
HD 40979 b,HD 40979,1,264.14999,,34.0883,1484.2661
14 Her b,14 Her,2,1773.40002,,17.9323,1481.0878
gam Lib c,gam Lib,2,964.6,,47.4017,1455.6614
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,1,,,6260.0,1450.0
HD 111998 b,HD 111998,1,825.9,,33.2237,1433.4133
HU Aqr AB c,HU Aqr,2,4368.0,,,1430.235
HD 120084 b,HD 120084,1,2082.0,,103.044,1430.2
OGLE2-TR-L9 b,OGLE2-TR-L9,1,2.4855335,,1627.63,1430.175
HD 25015 b,HD 25015,1,6019.32,,37.433,1423.8784
Kepler-454 c,Kepler-454,2,523.9,,230.869,1417.5218
HD 142022 A b,HD 142022 A,1,1928.0,,34.2802,1411.1652
GJ 86 b,GJ 86,1,15.76491,,10.7836,1404.8086
OGLE-2018-BLG-1700L b,OGLE-2018-BLG-1700L,1,,,7600.0,1400.0
KMT-2018-BLG-1292L b,KMT-2018-BLG-1292L,1,,,3460.0,1400.0
XO-6 b,XO-6,1,3.7650007,1577.0,235.479,1398.452
HD 111591 b,HD 111591,1,1056.4,,114.166,1398.452
HD 80606 b,HD 80606,1,111.4367,,66.4711,1392.0954
tau Boo b,tau Boo,1,3.3124568,,15.6521,1373.0256
Qatar-5 b,Qatar-5,1,2.8792319,1415.0,367.658,1373.0256
17 Sco b,17 Sco,1,578.38,,124.953,1373.01872
Qatar-3 b,Qatar-3,1,2.5079204,1681.0,735.601,1369.8473
CoRoT-20 b,CoRoT-20,2,9.24285,,844.061,1366.669
WASP-186 b,WASP-186,1,5.026799,,278.514,1341.2426
RR Cae b,RR Cae,1,4343.5,,21.1916,1334.886
BD+20 274 b,BD+20 274,1,578.2,,1322.51,1334.886
HAT-P-16 b,HAT-P-16,1,2.77596,1626.0,226.637,1332.605
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,1,,,3410.0,1330.0
Kepler-1704 b,Kepler-1704,1,988.88113,254.0,835.455,1318.98789
ups And d,ups And,3,1276.46,,13.4054,1313.22
omi UMa b,omi UMa,1,1630.0,,54.9149,1303.103
Kepler-32 b,Kepler-32,5,5.90124,,323.847,1303.0
MOA-2008-BLG-379L b,MOA-2008-BLG-379L,1,,,3300.0,1300.0
OGLE-2016-BLG-0263L b,OGLE-2016-BLG-0263L,1,,,6500.0,1300.0
KELT-19 A b,KELT-19 A,1,4.6117093,1935.0,300.276,1293.5681
HD 169830 c,HD 169830,2,2102.0,,37.6048,1283.98
